age,income,usage_time,complaints,churn
22,30000,12,1,0
35,55000,5,3,1
28,42000,15,0,0
46,68000,3,5,1
31,50000,10,1,0
52,72000,2,6,1
25,36000,14,0,0
41,61000,4,4,1
29,45000,11,1,0
48,70000,3,5,1
33,52000,9,2,0
55,76000,2,7,1
24,34000,16,0,0
39,59000,6,3,1
27,41000,13,1,0
44,65000,4,4,1
30,47000,12,1,0
50,73000,3,6,1
26,39000,15,0,0
43,63000,5,4,1
32,51000,10,2,0
47,69000,4,5,1
23,32000,17,0,0
38,57000,7,3,1
34,53000,11,1,0
49,71000,3,6,1
28,44000,14,1,0
45,66000,5,4,1
31,49000,13,0,0
53,75000,2,7,1
36,56000,8,2,0
42,62000,6,4,1
27,40000,16,0,0
51,74000,3,6,1
33,54000,9,1,0
40,60000,5,3,1
29,46000,12,1,0
46,67000,4,5,1
25,37000,15,0,0
54,77000,2,7,1
